Variable,Country,Value
"Associate Professional nurses, licensed to practice",Australia,29661.81863636364
"Associate Professional nurses, licensed to practice",Canada,47684.84153846154
"Associate Professional nurses, licensed to practice",Chile,0.0
"Associate Professional nurses, licensed to practice",Denmark,0.0
"Associate Professional nurses, licensed to practice",Estonia,0.0
"Associate Professional nurses, licensed to practice",Hungary,11963.916000000001
"Associate Professional nurses, licensed to practice",Iceland,2420.2149999999997
"Associate Professional nurses, licensed to practice",Ireland,0.0
"Associate Professional nurses, licensed to practice",Israel,6581.739999999999
"Associate Professional nurses, licensed to practice",Italy,0.0
"Associate Professional nurses, licensed to practice",Korea,258650.7779166667
"Associate Professional nurses, licensed to practice",Lithuania,0.0
"Associate Professional nurses, licensed to practice",Luxembourg,0.0
"Associate Professional nurses, licensed to practice",New Zealand,1587.4678571428574
"Associate Professional nurses, licensed to practice",Norway,0.0
"Associate Professional nurses, licensed to practice",Poland,0.0
"Associate Professional nurses, licensed to practice",Spain,0.0
"Associate Professional nurses, licensed to practice",United States,488083.3376923077
"Associate Professional nurses, practising",Australia,22393.630454545455
"Associate Professional nurses, practising",Austria,1.5
"Associate Professional nurses, practising",Canada,41349.888076923075
"Associate Professional nurses, practising",Denmark,0.0
"Associate Professional nurses, practising",Estonia,0.0
"Associate Professional nurses, practising",Finland,11765.6495
"Associate Professional nurses, practising",Germany,70847.02115384616
"Associate Professional nurses, practising",Greece,8288.792692307694
"Associate Professional nurses, practising",Hungary,7486.022307692308
"Associate Professional nurses, practising",Iceland,964.9800000000002
"Associate Professional nurses, practising",Israel,2697.7765384615386
"Associate Professional nurses, practising",Italy,0.0
"Associate Professional nurses, practising",Japan,176985.97
"Associate Professional nurses, practising",Korea,61682.963461538464
"Associate Professional nurses, practising",Lithuania,0.0
"Associate Professional nurses, practising",Luxembourg,0.0
"Associate Professional nurses, practising",Mexico,58935.047307692286
"Associate Professional nurses, practising",Netherlands,47240.385
"Associate Professional nurses, practising",New Zealand,1464.4750000000001
"Associate Professional nurses, practising",Norway,0.0
"Associate Professional nurses, practising",Poland,0.0
"Associate Professional nurses, practising",Slovenia,6213.384230769231
"Associate Professional nurses, practising",Spain,0.0
"Associate Professional nurses, practising",Switzerland,18772.830909090913
"Associate Professional nurses, practising",United Kingdom,52884.55142857142
"Associate Professional nurses, professionally active",Australia,25423.765454545453
"Associate Professional nurses, professionally active",Canada,42781.54538461538
"Associate Professional nurses, professionally active",Denmark,0.0
"Associate Professional nurses, professionally active",Finland,12533.3
"Associate Professional nurses, professionally active",France,289922.07607142854
"Associate Professional nurses, professionally active",Germany,109385.95461538463
"Associate Professional nurses, professionally active",Iceland,964.9800000000002
"Associate Professional nurses, professionally active",Ireland,0.0
"Associate Professional nurses, professionally active",Israel,4783.6567857142845
"Associate Professional nurses, professionally active",Italy,0.0
"Associate Professional nurses, professionally active",Japan,178866.40083333335
"Associate Professional nurses, professionally active",Lithuania,0.0
"Associate Professional nurses, professionally active",Luxembourg,0.0
"Associate Professional nurses, professionally active",New Zealand,1496.9114285714288
"Associate Professional nurses, professionally active",Norway,0.0
"Associate Professional nurses, professionally active",Poland,0.0
"Associate Professional nurses, professionally active",Portugal,0.0
"Associate Professional nurses, professionally active",Slovak Republic,0.0
"Associate Professional nurses, professionally active",Slovenia,6297.386923076921
"Associate Professional nurses, professionally active",Spain,0.0
"Associate Professional nurses, professionally active",Turkey,0.0
"Associate Professional nurses, professionally active",United States,357316.5338461539
Associate Professional nursing graduates,Australia,2795.2299999999987
Associate Professional nursing graduates,Austria,0.0
Associate Professional nursing graduates,Canada,3522.06
Associate Professional nursing graduates,Chile,0.0
Associate Professional nursing graduates,Denmark,0.0
Associate Professional nursing graduates,Estonia,0.0
Associate Professional nursing graduates,France,0.0
Associate Professional nursing graduates,Germany,3481.3753846153845
Associate Professional nursing graduates,Greece,424.41100000000006
Associate Professional nursing graduates,Hungary,941.708
Associate Professional nursing graduates,Iceland,84.63807692307692
Associate Professional nursing graduates,Ireland,0.0
Associate Professional nursing graduates,Israel,26.558571428571433
Associate Professional nursing graduates,Italy,0.0
Associate Professional nursing graduates,Japan,5178.878928571428
Associate Professional nursing graduates,Korea,14216.308333333334
