Variable,Country,Value
Beds in for-profit privately owned hospitals,Australia,17477.0
Beds in for-profit privately owned hospitals,Austria,8873.0
Beds in for-profit privately owned hospitals,Canada,675.0
Beds in for-profit privately owned hospitals,Chile,10516.0
Beds in for-profit privately owned hospitals,Czech Republic,10528.0
Beds in for-profit privately owned hospitals,Denmark,533.0
Beds in for-profit privately owned hospitals,Estonia,876.0
Beds in for-profit privately owned hospitals,Finland,1475.79
Beds in for-profit privately owned hospitals,France,98545.0
Beds in for-profit privately owned hospitals,Germany,201425.0
Beds in for-profit privately owned hospitals,Greece,15264.0
Beds in for-profit privately owned hospitals,Hungary,201.0
Beds in for-profit privately owned hospitals,Iceland,0.0
Beds in for-profit privately owned hospitals,Israel,3441.0
Beds in for-profit privately owned hospitals,Italy,66497.0
Beds in for-profit privately owned hospitals,Korea,0.0
Beds in for-profit privately owned hospitals,Latvia,1120.0
Beds in for-profit privately owned hospitals,Lithuania,241.0
Beds in for-profit privately owned hospitals,Mexico,44395.0
Beds in for-profit privately owned hospitals,New Zealand,1535.0
Beds in for-profit privately owned hospitals,Poland,67732.0
Beds in for-profit privately owned hospitals,Portugal,3883.0
Beds in for-profit privately owned hospitals,Slovenia,102.0
Beds in for-profit privately owned hospitals,Spain,30075.0
Beds in for-profit privately owned hospitals,Turkey,53553.0
Beds in for-profit privately owned hospitals,United States,152526.0
Beds in not-for-profit privately owned hospitals,Australia,13552.0
Beds in not-for-profit privately owned hospitals,Austria,11565.0
Beds in not-for-profit privately owned hospitals,Belgium,48649.0
Beds in not-for-profit privately owned hospitals,Czech Republic,465.0
Beds in not-for-profit privately owned hospitals,Denmark,655.0
Beds in not-for-profit privately owned hospitals,Estonia,508.0
Beds in not-for-profit privately owned hospitals,France,70479.0
Beds in not-for-profit privately owned hospitals,Germany,231095.0
Beds in not-for-profit privately owned hospitals,Greece,1607.0
Beds in not-for-profit privately owned hospitals,Hungary,2205.0
Beds in not-for-profit privately owned hospitals,Iceland,0.0
Beds in not-for-profit privately owned hospitals,Israel,5249.0
Beds in not-for-profit privately owned hospitals,Italy,7967.0
Beds in not-for-profit privately owned hospitals,Korea,566707.0
Beds in not-for-profit privately owned hospitals,Latvia,0.0
Beds in not-for-profit privately owned hospitals,Lithuania,0.0
Beds in not-for-profit privately owned hospitals,Netherlands,78140.0
Beds in not-for-profit privately owned hospitals,New Zealand,508.0
Beds in not-for-profit privately owned hospitals,Poland,0.0
Beds in not-for-profit privately owned hospitals,Portugal,7222.0
Beds in not-for-profit privately owned hospitals,Slovenia,0.0
Beds in not-for-profit privately owned hospitals,Spain,22755.0
Beds in not-for-profit privately owned hospitals,Turkey,0.0
Beds in not-for-profit privately owned hospitals,United States,598382.0
Beds in publicly owned hospitals,Australia,61797.0
Beds in publicly owned hospitals,Austria,47549.0
Beds in publicly owned hospitals,Belgium,24829.0
Beds in publicly owned hospitals,Canada,97614.0
Beds in publicly owned hospitals,Chile,34126.0
Beds in publicly owned hospitals,Czech Republic,66412.0
Beds in publicly owned hospitals,Denmark,22742.0
Beds in publicly owned hospitals,Estonia,7372.0
Beds in publicly owned hospitals,Finland,37736.8
Beds in publicly owned hospitals,France,317782.0
Beds in publicly owned hospitals,Germany,329102.0
Beds in publicly owned hospitals,Greece,38115.0
Beds in publicly owned hospitals,Hungary,77935.0
Beds in publicly owned hospitals,Iceland,1283.0
Beds in publicly owned hospitals,Israel,18010.0
Beds in publicly owned hospitals,Italy,167594.0
Beds in publicly owned hospitals,Japan,507117.0
Beds in publicly owned hospitals,Korea,64385.0
Beds in publicly owned hospitals,Latvia,20291.0
Beds in publicly owned hospitals,Lithuania,30909.0
Beds in publicly owned hospitals,Mexico,140409.0
Beds in publicly owned hospitals,Netherlands,0.0
Beds in publicly owned hospitals,New Zealand,11096.0
Beds in publicly owned hospitals,Norway,17165.0
Beds in publicly owned hospitals,Poland,204226.0
Beds in publicly owned hospitals,Portugal,29700.0
Beds in publicly owned hospitals,Slovenia,9391.0
Beds in publicly owned hospitals,Spain,99789.0
Beds in publicly owned hospitals,Turkey,172310.0
Beds in publicly owned hospitals,United Kingdom,240144.0
Beds in publicly owned hospitals,United States,260890.0
Curative (acute) care beds,Austria,54869.0
Curative (acute) care beds,Belgium,63510.0
Curative (acute) care beds,Canada,106752.0
Curative (acute) care beds,Chile,36523.0
Curative (acute) care beds,Czech Republic,59300.0
Curative (acute) care beds,Denmark,22887.0
Curative (acute) care beds,Estonia,8381.0
Curative (acute) care beds,Finland,20346.66
Curative (acute) care beds,France,246817.0
Curative (acute) care beds,Germany,559651.0
Curative (acute) care beds,Greece,45729.0
Curative (acute) care beds,Hungary,63227.0
Curative (acute) care beds,Iceland,1043.0
Curative (acute) care beds,Ireland,13297.0
Curative (acute) care beds,Israel,19389.0
Curative (acute) care beds,Italy,240123.0
Curative (acute) care beds,Japan,1241909.0
Curative (acute) care beds,Korea,369958.0
Curative (acute) care beds,Latvia,14481.0
Curative (acute) care beds,Lithuania,26683.0
Curative (acute) care beds,Luxembourg,2301.0
Curative (acute) care beds,Mexico,182007.0
Curative (acute) care beds,Netherlands,61173.0
Curative (acute) care beds,New Zealand,12905.0
Curative (acute) care beds,Norway,21218.0
Curative (acute) care beds,Poland,197080.0
Curative (acute) care beds,Portugal,37681.0
Curative (acute) care beds,Slovak Republic,34510.0
Curative (acute) care beds,Slovenia,10393.0
Curative (acute) care beds,Spain,117607.0
Curative (acute) care beds,Sweden,27531.0
Curative (acute) care beds,Switzerland,38128.0
Curative (acute) care beds,Turkey,223386.0
Curative (acute) care beds,United Kingdom,139647.0
Curative (acute) care beds,United States,860100.0
Long-term care beds,Austria,5877.0
Long-term care beds,Belgium,2085.0
Long-term care beds,Canada,21238.0
Long-term care beds,Chile,254.0
Long-term care beds,Czech Republic,20742.0
Long-term care beds,Denmark,250.0
Long-term care beds,Estonia,1739.0
Long-term care beds,Finland,18150.06
Long-term care beds,France,84532.0
Long-term care beds,Germany,0.0
Long-term care beds,Greece,6570.0
Long-term care beds,Hungary,12196.0
Long-term care beds,Iceland,176.0
Long-term care beds,Ireland,7262.0
Long-term care beds,Israel,5581.0
Long-term care beds,Italy,11164.0
